Geo Point;Geo Shape;Edizione bilancio partecipativo;Progetto;Quartiere;Luogo;Attuazione;Stato;Descrizione;Beneficiario;Importo;Link;area statistica;zona di prossimità
44.443823320575056, 11.30594657578858;"{""coordinates"": [[11.30594657578858, 44.443823320575056]], ""type"": ""MultiPoint""}";2019/20;Viva i Colli Vivi;Santo Stefano;Parco Cavaioni;in corso di realizzazione;in progettazione;Riqualificazione e recupero dei campi da basket, da pallavolo e della pista di pattinaggio del Parco Cavaioni;I cittadini di Bologna e turisti;136000.0;;PADERNO;OSSERVANZA - PADERNO
44.525405520848835, 11.36244520277969;"{""coordinates"": [[11.36244520277969, 44.525405520848835]], ""type"": ""MultiPoint""}";2019/20;Punto Riuso;Navile;Via Ferrarese 211;in corso di realizzazione;in progettazione;Recuperare ciò che è ancora buono, per far bene al pianeta e alle persone - Il progetto prevede la riqualificazione dell’edificio per trasformarlo in un punto per il riuso;I cittadini tutti, presenti e futuri del pianeta. Si prevede inoltre l’inclusione di persone in grave emarginazione in età adulta e la collaborazione con enti del terzo settore;136000.0;;SAVENA ABBANDONATO;CORTICELLA - DOZZA
44.48250332302659, 11.3129273700523;"{""coordinates"": [[11.3129273700523, 44.48250332302659]], ""type"": ""MultiPoint""}";2018;La collina di città;Porto Saragozza;Lungo il sentiero CAI 914: da villa Spada fino all’area di villa Puglioli e all’area dei 300 scalini;in corso di realizzazione;in corso di approvazione;Verso i 300 scalini tra natura e cultura;Cittadini e cittadine che fanno attività ricreative e di tempo libero all’aperto, persone con disabilità, bambine, bambini e insegnanti;130000.0;;RAVONE;SARAGOZZA - SAN LUCA
44.45747480495234, 11.370108759468813;"{""coordinates"": [[11.370108759468813, 44.45747480495234]], ""type"": ""MultiPoint""}";2018;I Love San Ruffillo;Savena;"Zona verde compresa tra via Toscana, ex-scuole Ferrari e parrocchia di San Ruffillo; scala sottopass";realizzato;finito;"Un nuovo parco urbano in via Toscana e il recupero della scala di accesso alla
""Piazzetta""";"I principali beneficiari sono gli abitanti zona San Ruffillo, via Carelli e via del Pozzo; gli utenti dei servizi e delle attività che gravitano intorno alla piazzetta; i frequentatori della parrocchia; chi frequenta la scuola Santa Caterina [..]";130000.0;;VIA TOSCANA;VIA TOSCANA - S. RUFFILLO - MONTE DONATO
44.490411453471346, 11.401593044466429;"{""coordinates"": [[11.401593044466429, 44.490411453471346]], ""type"": ""MultiPoint""}";2018;Dare luce all'ombra;San Donato - San Vitale;Via Pallavicini, giardino adiacente e percorso pedonale fino a Via Martelli;realizzato;finito, sono in corso di conclusione alcuni dettagli;Manutenzione e cura di via Pallavicini;I beneficiari del progetto sono i residenti, gli operatori e i frequentatori del Centro d’accoglienza Roston, della struttura di accoglienza Casa Willy e del Centro di Cultura Islamica di Bologn [..];65000.0;;CROCE DEL BIACCO;CROCE DEL BIACCO - ROVERI
44.54720447129831, 11.35006896462755;"{""coordinates"": [[11.35006896462755, 44.54720447129831]], ""type"": ""MultiPoint""}";2018;Il giardino del villaggio;Navile;Area verde tra via Bortolotti e via Mengoni;realizzato;finito, sono in corso di conclusione alcuni dettagli;Area verde ludica per incontri intergenerazionali e feste campestri a Corticella;Famiglie con bambini e anziani, tutti i residenti della zona;130000.0;;SAN SAVINO;CORTICELLA - DOZZA
44.502229423856065, 11.329417442174917;"{""coordinates"": [[11.329417442174917, 44.502229423856065]], ""type"": ""MultiPoint""}";2017;Parco Giochi Sensoriale;Porto Saragozza;Zona giochi e zone interne del Giardino Lorusso;realizzato;Sono rimasti esclusi gli interventi relativi alla realizzazione del percorso sensoriale;Percorsi lucidi e percettivi al Giardino Lorusso;La proposta si rivolge a bambini e adulti con disabilità ma contemporaneamente a tutti i bambini e adulti del quartiere, quindi tutti i fruitori del parco delle varie fasce di età, compresi studenti e cittadini che usufruiscono dei servizi delle istitu;130000.0;;ZANARDI;SAFFI
44.52258917931401, 11.266345283243352;"{""coordinates"": [[11.266345283243352, 44.52258917931401]], ""type"": ""MultiPoint""}";2017;Diritto alla bellezza, al gioco e al sogno;Borgo Panigale - Reno;L’intervento è pensato per il Parco dei Pioppi, oltre al recupero del muro della scuola dell’infanzia Mazzini e della rampa di d’accesso per le carrozzine;candidato al voto;;Riqualificazione del parco dei Pioppi e del muro della scuola dell’infanzia Mazzini;Il progetto si rivolge a tutta la cittadinanza: in particolare a famiglie con bambini, a giovani, agli anziani. Tutti i residenti e i frequentatori della zona potranno avere piacere di frequentare il parco nei diversi orari del giorno e della sera anche;100000.0;;DUCATI-VILLAGGIO INA;BORGO PANIGALE
44.522514053386374, 11.26880964873427;"{""coordinates"": [[11.26880964873427, 44.522514053386374]], ""type"": ""MultiPoint""}";2017;Il parco di tutti i bambini;Borgo Panigale - Reno;Parco impianto sportivo ‘Cavina’ zona sud, via Domenico Biancolelli 36, nell'area retrostante i campi da tennis;candidato al voto;;Un parco inclusivo a Borgo Panigale-Reno;I beneficiari saranno ‘tutti’i bambini abitanti nelle zona tra via Legnano e via della Salute e aree limitrofe. ‘Tutti’ i bambini perchè il parco si rivolge anche a bambini con disabilità motoria e sensoriale;100000.0;;DUCATI-VILLAGGIO INA;BORGO PANIGALE
44.52219339770748, 11.264196512660137;"{""coordinates"": [[11.264196512660137, 44.52219339770748]], ""type"": ""MultiPoint""}";2017;Panchine di comunità;Borgo Panigale - Reno;Parco Popieluszko;candidato al voto;;Colori e aggregazione per rendere più vivibile il parco Popieluszko;Il progetto si rivolge a chi abita l’area e a chi la utilizza per le attività commerciali presenti (centro commerciale, baracchina dei gelati, ecc). Il progetto auspica in particolare di coinvolgere giovani, ragazzi, studenti delle scuole medie e del;35000.0;;DUCATI-VILLAGGIO INA;BORGO PANIGALE
44.52281414965532, 11.319928982835645;"{""coordinates"": [[11.319928982835645, 44.52281414965532]], ""type"": ""MultiPoint""}";2017;Zona 30 km/h;Navile;Il progetto sarà realizzato nel nucleo storico conosciuto come Pescarola Ca’Bianca, località Bertalia [..];candidato al voto;;Moderazione del traffico per favorire la sicurezza e la socialità urbana in Pescarola - Bertalia;Cittadini residenti e in generale chi usufruisce della viabilità della zona;130000.0;;PESCAROLA;BERTALIA - NOCE
44.503832706142916, 11.325802482110578;"{""coordinates"": [[11.325802482110578, 44.503832706142916]], ""type"": ""MultiPoint""}";2017;Presidio di memoria delle ex Officine Grandi Riparazioni;Porto Saragozza;Su un tratto del muro prospiciente via Casarini;candidato al voto;;Un intervento artistico in ricordo delle vittime dell'aminato;I beneficiari del progetto sono principalmente gli abitanti dell’area e chi percorre via Casarini. Nello specifico il progetto coinvolgerà anche i lavoratori ed ex lavoratori delle O.M.C. Bologna  (ex O.G.R.) e alunni delle scuole [..;35000.0;;SCALO RAVONE;SAFFI
44.47828644153385, 11.374793680977438;"{""coordinates"": [[11.374793680977438, 44.47828644153385]], ""type"": ""MultiPoint""}";2017;Lunetta Lab;Santo Stefano;Locali dell’ex-centro giovanile Moratello di via Casanova 11, adiacenti alla palestra Valeria Moratello, già in passato sede di attività educative per i ragazzi di età compresa tra gli 11-14 anni;candidato al voto;;Recupero dell'ex-centro di aggregazione giovanile, uno spazio aperto per adolescenti e giovani della Lunetta Gamberini;Adolescenti e giovani fino ai 25 anni (15-25) in modo prevalente, con utilizzo anche da parte dei ragazzi di età compresa tra gli 11e i 14 anni, per eventi in collaborazione con scuole e associazioni, e per utilizzo guidato delle strumentazioni digitali;130000.0;;DAGNINI;MURRI
44.48131981719648, 11.372123736646932;"{""coordinates"": [[11.372123736646932, 44.48131981719648]], ""type"": ""MultiPoint""}";2017;Narrazione e monumento alla felicità urbana;Santo Stefano;Dato il forte coinvolgimento dei giovani, delle scuole e delle famiglie si suggerisce la collinetta sita dietro alla polveriera e in prossimità delle scuole dell'infanzia Rossi;candidato al voto;;Un intervento di arte pubblica per creare uno spazio simbolo per le storie della Lunetta Gamberini;Il progetto si rivolge agli abitanti del parco. Vuole coinvolgere nello specifico: anziani, comunità straniere, nuovi cittadini, gli alunni delle scuole e i docenti delle scuole elementari dell'area nella creazione dell'opera;110000.0;;DAGNINI;MURRI
44.481413581384174, 11.371211251862604;"{""coordinates"": [[11.371211251862604, 44.481413581384174]], ""type"": ""MultiPoint""}";2017;Parco aperto;Santo Stefano;Parco Lunetta Gamberini;candidato al voto;;Spazi senza barriere architettoniche e accessibilità ciclabile per il giardino Lunetta Gamberini;Tutti i fruitori del parco e delle scuole presenti al suo interno, con particolare riferimento alle categorie deboli;130000.0;;DAGNINI;MURRI
44.46389220607451, 11.37727112970803;"{""coordinates"": [[11.37727112970803, 44.46389220607451]], ""type"": ""MultiPoint""}";2017;Abbabella;Savena;Parco Edmea Pirami e vialetto pedonale che congiunge via Abba a via della Battaglia;candidato al voto;;Aree verdi per facilitare la socializzazione al parco Edmea Pirami di via Abba;Bambini, adolescenti, famiglie e anziani che si ritrovano a condividere gli spazi comuni. Donne che, trovando spazi comuni più accessibili e curati, possono con più facilità socializzare;120000.0;;CORELLI;LUNGO SAVENA
44.47537149375589, 11.39423286037684;"{""coordinates"": [[11.39423286037684, 44.47537149375589]], ""type"": ""MultiPoint""}";2017;Le corti del cielo, dell'acqua e della terra;Savena;Corte dell’acqua di via Ferrara (adiacente via Emilia);candidato al voto;;Ripristino della fontana in via Ferrara;I soggetti beneficiari dell’intervento saranno i cittadini del quartiere, residenti della zona, frequentatori della biblioteca Ginzburg, ciclisti che utilizzano la ciclabile Carlo Piazzi;35000.0;;VIA ARNO;PONTEVECCHIO - MAZZINI
44.502634389759486, 11.280549442664919;"{""coordinates"": [[11.280549442664919, 44.502634389759486]], ""type"": ""MultiPoint""}";2018;Un giardino da raccontare;Borgo Panigale - Reno;Giardino dei Bambù e sentieri del Lungo Reno;candidato al voto;;Sentieri, giochi e aggregazione al Giardino del Bambù;Associazioni e cittadini, in particolare i bambini, le mamme, le donne, gli anziani che frequentano il giardino del Bambù quotidianamente;130000.0;;CASTELDEBOLE;CASTELDEBOLE - PONTELUNGO
44.49147767024949, 11.285396019014668;"{""coordinates"": [[11.285396019014668, 44.49147767024949]], ""type"": ""MultiPoint""}";2019/20;Qua la zampa!;Borgo Panigale - Reno;Giardino Guido Horn d’Arturo;candidato al voto;;Dare uno spazio agli amici a quattro zampe al giardino Guido Horn D'Arturo;Cani, padroni, anziani e residenti, bambini;60000.0;;VILLAGGIO DELLA BARCA;BARCA
44.54514363521432, 11.35364716298415;"{""coordinates"": [[11.35364716298415, 44.54514363521432]], ""type"": ""MultiPoint""}";2018;Salvaguardia e sicurezza pedonale;Navile;Via delle Fonti, via di Corticella;candidato al voto;;Miglioramento della viabilità e tutela del traffico pedonale in di via delle Fonti, Corticella, Arcoveggio;Residenti di via delle Fonti e via di Corticella;130000.0;;SAN SAVINO;CORTICELLA - DOZZA
44.492871574516066, 11.311338535702292;"{""coordinates"": [[11.311338535702292, 44.492871574516066]], ""type"": ""MultiPoint""}";2018;La metropolitane dei passi;Porto Saragozza;"dorsale di Via Saragozza; Piazza della Pace e collegamento ciclopedonale con i giardini Giacomo Bulgarelli e Bandiera-De Coubertin; collegamento pedonale tra via Felice Battaglia e via di Casaglia";candidato al voto;;Ricucitura urbana tra spazi pubblici e aree verdi tra collina e città - La proposta intende realizzare interventi di “ricucitura” con una segnaletica coordinata diffusa per rendere più facilmente fruibili e accessibili i percorsi esistenti [..];Cittadini, turisti e City Users, studenti, sportivi;130000.0;;XXI APRILE;SARAGOZZA - SAN LUCA
44.48753734678675, 11.315231889597205;"{""coordinates"": [[11.315231889597205, 44.48753734678675]], ""type"": ""MultiPoint""}";2018;La metropolitane dei passi;Porto Saragozza;"dorsale di Via Saragozza; Piazza della Pace e collegamento ciclopedonale con i giardini Giacomo Bulgarelli e Bandiera-De Coubertin; collegamento pedonale tra via Felice Battaglia e via di Casaglia";candidato al voto;;Ricucitura urbana tra spazi pubblici e aree verdi tra collina e città - La proposta intende realizzare interventi di “ricucitura” con una segnaletica coordinata diffusa per rendere più facilmente fruibili e accessibili i percorsi esistenti [..];Cittadini, turisti e City Users, studenti, sportivi;130000.0;;RAVONE;SARAGOZZA - SAN LUCA
44.492058179750636, 11.384045137413574;"{""coordinates"": [[11.384045137413574, 44.492058179750636]], ""type"": ""MultiPoint""}";2018;Grondaie sonanti;San Donato - San Vitale;Via Guelfa 40/4;candidato al voto;;Installazione artistica che gioca con l'acqua in via Guelfa;Frequentatori delle diverse attività condotte all’interno di Camere d’Aria e tutti abitanti del quartiere ma anche coloro che sono di passaggio nella zona e potrebbero godere degli effetti dell’installazione;95000.0;;GUELFA;CIRENAICA - MASSARENTI - SCANDELLARA
44.490993341221625, 11.397725397395027;"{""coordinates"": [[11.397725397395027, 44.490993341221625]], ""type"": ""MultiPoint""}";2018;Passaggio giocoso in Bella Fuori 3;San Donato - San Vitale;Area di Bella Fuori 3, parco compreso tra via Martiri della Croce del Biacco e via Martelli dal 23/13 al 23/16;candidato al voto;;Per un parco e una scuola più accessibili e vivibili;Famiglie, bambini, scolari, anziani e giovani che vivono e nella zona di Bella Fuori 3 e/o la frequentano nel tempo libero;130000.0;;CROCE DEL BIACCO;CROCE DEL BIACCO - ROVERI
44.499647327379556, 11.350870995676942;"{""coordinates"": [[11.350870995676942, 44.499647327379556]], ""type"": ""MultiPoint""}";2018;Copenaghenize Bologna;Santo Stefano;Zona Irnerio e in particolare le strade che incrociano via Irnerio (via Mascarella, via di Borgo San Pietro etc.) - Si prevede, in particolare, di realizzare in Via Mascarella e Via di Borgo San Pietro delle linee d'arresto avanzate per le biciclette [.];candidato al voto;;La rivoluzione a pedali passa da Irnerio;I beneficiari primari del progetto saranno i ciclisti e i pedoni che attraversano la zona Irnerio;130000.0;;IRNERIO-2;IRNERIO
44.45916741248198, 11.369177648459269;"{""coordinates"": [[11.369177648459269, 44.45916741248198]], ""type"": ""MultiPoint""}";2018;Il giardino oltre la scuola;Savena;Giardino del polo Scolastico del Buon Pastore in via Buon Pastore;candidato al voto;;Area polifunzionale del polo scolastico Buon Pastore;Famiglie, alunni della scuola, utenza della biblioteca G. Guidi;100000.0;;VIA TOSCANA;VIA TOSCANA - S. RUFFILLO - MONTE DONATO
44.46217487208799, 11.358188551618198;"{""coordinates"": [[11.358188551618198, 44.46217487208799]], ""type"": ""MultiPoint""}";2018;La via dei borghi;Savena;Area verde tra via Villari e via Croce di Camaldoli, via Siepelunga nel tratto all’interno del borgo di Monte Donato, via Jola e via del Poggio;candidato al voto;;Itinerari naturali sulla collina;Tutti cittadini della città di Bologna che vogliono riappropriarsi dell'accesso alla collina [..];130000.0;;MONTE DONATO;VIA TOSCANA - S. RUFFILLO - MONTE DONATO
44.52896991695916, 11.36431939735193;"{""coordinates"": [[11.36431939735193, 44.52896991695916]], ""type"": ""MultiPoint""}";2019/20;Vivere il fienile della Dozza;Navile;Parco - Incrocio Via Ferrarese/Via della Dozza 8;candidato al voto;;Realizzazione di una struttura come luogo identitario e relazionale per i cittadini della Dozza;I beneficiari saranno le associazioni che già sono presenti sul territorio (..) e tutti i cittadini che partecipano alle loro attività, i frequentatori dell’orto adiacente, la scuola Dozza e la Parrocchia oltre a tutti i cittadini del quartiere;136000.0;;LA DOZZA;CORTICELLA - DOZZA
44.50103890555398, 11.330914859103638;"{""coordinates"": [[11.330914859103638, 44.50103890555398]], ""type"": ""MultiPoint""}";2019/20;Una favola di giardino;Porto Saragozza;Giardino Stefano Casagrande;candidato al voto;;Riqualificazione del giardino Stefano Casagrande;Abitanti del quartiere, realtà associative che necessitano di spazi espositivi, turisti;136000.0;;MARCONI-2;MARCONI
44.493693385720235, 11.373690133896575;"{""coordinates"": [[11.373690133896575, 44.493693385720235]], ""type"": ""MultiPoint""}";2019/20;Facciamo un giardino;San Donato - San Vitale;"Giardino Massarenti, Area Gelateria Ex Ottagono, tra via Massarenti e
via Rimesse";candidato al voto;;Riqualificazione del Giardino Massarenti per una nuova vivibilità;"I cittadini, gli utenti della fermata Rimesse, chi deve passare da via Rimesse a via
Massarenti";136000.0;;MENGOLI;CIRENAICA - MASSARENTI - SCANDELLARA
44.485941686003244, 11.372788743144383;"{""coordinates"": [[11.372788743144383, 44.485941686003244]], ""type"": ""MultiPoint""}";2019/20;PAAF!;San Donato - San Vitale;Parco ad angolo tra via Fossolo e via Azzurra, 60;candidato al voto;;"ParcoAngoloFossoloAzzurra - uno spazio vivo e accogliente tra via Fossolo
e via Azzurra";Bambini e famiglie dei vicini plessi scolastici (asilo, scuola elementare, liceo), anziani del quartiere, residenti;136000.0;;MENGOLI;CIRENAICA - MASSARENTI - SCANDELLARA
44.444374390262396, 11.304348618265838;"{""coordinates"": [[11.304348618265838, 44.444374390262396]], ""type"": ""MultiPoint""}";2019/20;Bike Park Cavaioni;Santo Stefano;Parco Cavaioni;candidato al voto;;Percorso di mountain bike nel verde del Parco Cavaioni;i cittadini di Bologna, ma in particolar modo chi si vuole avvicinare allo sport all’aria aperta i cui effetti positivi sono noti a tutti. La proposta interessa una gamma estremamente ampia di persone senza distinzione di sesso e senza limiti di età [;136000.0;;PADERNO;OSSERVANZA - PADERNO
44.44418802288987, 11.304182388086;"{""coordinates"": [[11.304182388086, 44.44418802288987]], ""type"": ""MultiPoint""}";2019/20;Un parco per lo sport;Santo Stefano;Parco Cavaioni;candidato al voto;;Riqualificazione del Parco Cavaioni con attrezzatura sportiva;Tutti i cittadini che vedono nell’attività sportiva una pratica sana per prendersi cura di sé stessi e di conseguenza della comunità. Il percorso sarà adatto sia ai bambini che agli adulti e anziani, perchè ognuno possa vivere lo sport a suo modo;136000.0;;PADERNO;OSSERVANZA - PADERNO
44.47862982955683, 11.399486472983902;"{""coordinates"": [[11.399486472983902, 44.47862982955683]], ""type"": ""MultiPoint""}";2019/20;Multisport Due Madonne;Savena;Centro Due Madonne - via Carlo Carli (ex-campetto da basket retrostante campo da calcio);candidato al voto;;Più sport e attrezzature per il Centro Due Madonne - riqualificazione dell’ex-campetto da basket, nell’area interna al centro sportivo Due Madonne, retrostante il campo da calcio in un’area multisport rivolta anche alle discipline urbane rotellist;Bambini, persone con disabilità, ragazzi e adulti;136000.0;;DUE MADONNE;FOSSOLO - DUE MADONNE
44.48994961845294, 11.384148719171558;"{""coordinates"": [[11.384148719171558, 44.48994961845294]], ""type"": ""MultiPoint""}";2019/20;Cinofilandia: parco inclusivo con cani liberi;Savena;"Area verde tra Viale Felsina, Scuola Manfredi-Tanari, ferrovia Adriatica e
caserma Stamoto";candidato al voto;;"Un luogo sicuro, riqualificato, fruibile e accogliente, di aggregazione, socialità e
attività con i cani e non solo";"Tutti i residenti e frequentatori del quartiere e in generale tutti i cittadini Bolognesi e della
Città metropolitana, le scuole, le fasce di popolazione fragile, gli animali, gli operatori del
settore";136000.0;;FOSSOLO;FOSSOLO - DUE MADONNE
44.50658576380873, 11.294268894850235;"{""coordinates"": [[11.292738613106378, 44.50820642092747], [11.295799176594093, 44.504965106689994]], ""type"": ""MultiPoint""}";2023;Acqua, verde, sport e cultura tra Santa Viola e la Birra;Borgo Panigale - Reno;Giardino Santa Viola, Giardino Otello Colli, Giardino Enel Speranza (di fronte al MAST), Parco Grant Banting, rotonda Ospedale Maggiore;candidato al voto;;Riqualificazione ambientale dell’area incentrata sull’acqua (no plastica), l’aumento del verde, la realizzazione di percorsi ginnici, la diffusione di saperi e cultura legati all’ambiente e all’arte;Tutta la cittadinanza;;https://www.comune.bologna.it/partecipa/percorsi/bilancio-partecipativo-23/acqua-verde-sport-e-cultura;EMILIA PONENTE;SANTA VIOLA
44.507791705075704, 11.310876116944218;"{""coordinates"": [[11.310876116944218, 44.507791705075704]], ""type"": ""MultiPoint""}";2023;Acqua, verde, sport e cultura tra Santa Viola e la Birra;Borgo Panigale - Reno;Giardino Santa Viola, Giardino Otello Colli, Giardino Enel Speranza (di fronte al MAST), Parco Grant Banting, rotonda Ospedale Maggiore;candidato al voto;;Riqualificazione ambientale dell’area incentrata sull’acqua (no plastica), l’aumento del verde, la realizzazione di percorsi ginnici, la diffusione di saperi e cultura legati all’ambiente e all’arte;Tutta la cittadinanza;;https://www.comune.bologna.it/partecipa/percorsi/bilancio-partecipativo-23/acqua-verde-sport-e-cultura;PRATI DI CAPRARA-OSPEDALE MAGGIORE;SAFFI
44.508488292977745, 11.304703606637645;"{""coordinates"": [[11.304703606637645, 44.508488292977745]], ""type"": ""MultiPoint""}";2023;Acqua, verde, sport e cultura tra Santa Viola e la Birra;Borgo Panigale - Reno;Giardino Santa Viola, Giardino Otello Colli, Giardino Enel Speranza (di fronte al MAST), Parco Grant Banting, rotonda Ospedale Maggiore;candidato al voto;;Riqualificazione ambientale dell’area incentrata sull’acqua (no plastica), l’aumento del verde, la realizzazione di percorsi ginnici, la diffusione di saperi e cultura legati all’ambiente e all’arte;Tutta la cittadinanza;;https://www.comune.bologna.it/partecipa/percorsi/bilancio-partecipativo-23/acqua-verde-sport-e-cultura;AGUCCHI;SANTA VIOLA
44.51098168878826, 11.285355280713272;"{""coordinates"": [[11.285355280713272, 44.51098168878826]], ""type"": ""MultiPoint""}";2023;Case di Quartiere accessibili a tutte le persone;Borgo Panigale - Reno;Spazi esterni delle Case di Quartiere Villa Bernaroli, Il Parco, Santa Viola;candidato al voto;;Realizzare nelle Case di Quartiere Villa Bernaroli, Il Parco e Santa Viola percorsi adatti a persone con disabilità visive e motorie e parchi giochi inclusivi, oltre ad attività culturali,  di educazione e di sensibilizzazione [..];Tutti i cittadini, bambini e bambine e persone con disabilità;;https://www.comune.bologna.it/partecipa/percorsi/bilancio-partecipativo-23/case-di-quartiere-accessibili-a-tutte-le-persone;TRIUMVIRATO-PIETRA;CASTELDEBOLE - PONTELUNGO
